"customer_status","age","dependents","education","marital_status","employment_status","income","card_type","months_since_first_account","total_accounts","months_inactive_last_year","contacted_last_year","credit_limit","utilization_ratio","spend_ratio_q4_q1","total_spend_last_year","transactions_last_year","transaction_ratio_q4_q1"
"active",62,2,"masters","married","self_employed",36269,"silver",51,6,2,4,2986,0.547,0.883,2141,55,0.667
"active",47,3,"associates","married","full_time",69187,"gold",36,2,3,1,11919,0.197,0.842,8257,96,0.574
"active",52,4,"associates","divorced","full_time",36392,"blue",48,5,5,2,1430,0.536,0.652,5053,74,0.947
"closed_account",40,3,"associates","married","full_time",96302,"blue",29,3,2,3,3616,0.318,0.687,820,21,0.75
"closed_account",45,3,"associates","married","full_time",37053,"silver",31,4,3,3,5941,0,0.522,2196,37,0.233
"active",43,4,"masters","married","self_employed",37519,"gold",36,6,5,1,2778,0.906,0.796,4575,60,0.714
"active",41,3,"bachelors","married","full_time",35171,"blue",31,2,2,2,4086,0.483,0.775,7932,87,0.642
"active",38,1,"masters","single","full_time",103667,"silver",25,4,2,4,8138,0,0.596,4839,61,0.649
"closed_account",44,4,"masters","single","full_time",107353,"blue",36,4,2,2,10834,0,0.522,2249,51,0.594
"closed_account",55,2,"masters","married","self_employed",54037,"blue",49,3,3,4,1809,0,0.569,2123,44,0.571
"closed_account",34,3,"masters","married","part_time",37861,"blue",36,6,3,2,15487,0.119,0.943,7031,67,0.811
"active",34,2,"masters","married","full_time",33839,"silver",18,4,1,3,2730,0,0.648,4530,72,0.714
"active",58,0,"masters","married","part_time",35941,"silver",36,6,3,1,4377,0.343,0.789,3900,62,0.938
"active",51,0,"associates","married","part_time",32006,"blue",35,5,3,4,3132,0.58,1.018,3607,60,0.935
"closed_account",56,2,"associates","single","full_time",36390,"blue",42,5,4,2,2423,0.111,0.804,2516,59,0.639
"active",47,1,"associates","married","part_time",32071,"gold",41,3,2,3,2950,0.557,0.8,4740,83,0.694
"active",45,3,"masters","married","part_time",33441,"blue",39,4,3,3,2606,0.759,0.443,2191,42,0.5
"active",37,2,"associates","married","full_time",35282,"silver",31,5,3,3,2352,0,1.467,2344,48,0.92
"active",53,1,"masters","married","full_time",71535,"gold",41,4,1,2,2432,0.639,1.158,3670,60,0.818
"closed_account",40,3,"masters","married","part_time",73851,"blue",25,1,2,3,6888,0.273,1.059,9038,64,0.829
"closed_account",59,2,"associates","single","full_time",92428,"blue",54,3,2,2,2791,0.858,0.889,2658,43,0.344
"closed_account",48,3,"masters","single","full_time",130856,"gold",35,2,2,6,34516,0,0.464,1632,44,0.333
"active",62,0,"masters","married","full_time",46362,"blue",51,3,3,3,10826,0.118,0.602,1355,34,0.619
"active",32,1,"associates","married","full_time",33492,"blue",14,4,2,2,3568,0.61,1.368,1913,35,0.667
"active",46,4,"masters","single","part_time",46507,"gold",34,6,2,1,2711,0,0.636,4795,65,1.031
"active",56,1,"masters","married","self_employed",35908,"gold",50,4,3,2,1584,0.828,0.867,4203,73,0.78
"closed_account",35,1,"masters","single","full_time",34542,"blue",30,2,2,2,1649,0,0.683,2549,54,0.588
"closed_account",49,4,"masters","married","full_time",33543,"gold",38,5,2,4,1757,0,0.89,2557,45,0.406
"active",45,2,"associates","divorced","full_time",48258,"gold",40,5,2,2,15785,0.074,0.732,8097,105,0.842
"active",47,1,"masters","single","full_time",78970,"gold",36,4,2,2,9090,0.151,0.64,4422,65,0.585
"closed_account",50,2,"masters","single","part_time",49411,"gold",36,3,3,2,2762,0,0.684,2571,44,0.419
"active",48,2,"associates","married","part_time",69209,"blue",37,3,2,2,8446,0.108,0.604,4240,67,0.763
"closed_account",48,2,"masters","married","full_time",90274,"gold",28,5,2,3,12073,0,0.541,2400,52,0.793
"active",31,1,"associates","married","part_time",32587,"gold",36,2,3,1,10353,0.147,0.724,15028,124,0.746
"active",40,3,"associates","married","part_time",34807,"blue",31,5,6,1,1811,0.453,0.773,4290,73,0.78
"closed_account",39,3,"associates","divorced","self_employed",35310,"gold",36,4,3,3,2809,0,0.854,2466,40,0.538
"active",52,4,"associates","married","full_time",68316,"blue",36,6,3,2,2597,0.67,0.71,5037,80,0.778
"active",53,1,"masters","married","full_time",102079,"blue",38,6,3,2,22140,0.033,0.987,1580,45,0.667
"closed_account",34,3,"masters","single","full_time",55243,"blue",28,2,3,2,3744,0,0.796,8202,69,0.769
"active",47,2,"bachelors","married","part_time",153974,"blue",35,4,3,2,3636,0.278,0.596,1564,59,0.686
"active",53,2,"masters","married","part_time",90350,"silver",41,2,3,1,10301,0.238,0.906,16359,111,0.657
"active",50,2,"bachelors","married","part_time",35351,"blue",40,3,2,4,8416,0.184,0.643,13988,124,0.771
"active",59,0,"bachelors","single","part_time",35166,"silver",40,1,3,3,3297,0,0.861,4783,91,0.685
"active",52,2,"associates","single","full_time",85836,"gold",40,3,3,3,34516,0.063,1.32,1234,23,1.875
"closed_account",48,2,"doctorate","single","full_time",69976,"blue",36,4,2,3,3137,0.274,0.304,1618,34,0.097
"active",54,0,"associates","married","full_time",100104,"silver",36,3,1,2,16286,0.105,1.223,2552,49,1.227
"closed_account",52,0,"doctorate","married","full_time",36368,"silver",36,4,3,2,4353,0.342,0.945,9226,85,1.073
"closed_account",31,1,"masters","single","part_time",35644,"blue",13,1,1,3,4829,0,0.836,8286,65,0.857
"active",54,2,"masters","married","full_time",35116,"gold",44,3,2,3,2027,0.73,0.979,1702,37,0.947
"closed_account",36,1,"associates","single","part_time",35365,"blue",36,2,3,2,1470,0.312,0.543,2383,39,0.444
"active",56,0,"associates","single","full_time",35563,"gold",44,3,2,0,1579,0.486,0.888,4241,72,0.946
"closed_account",61,0,"masters","single","full_time",72950,"blue",43,5,3,2,12218,0,1.005,5272,62,0.59
"active",56,3,"associates","married","full_time",48706,"silver",47,4,1,2,1822,0.614,0.896,4576,78,0.529
"active",41,4,"associates","married","full_time",85237,"silver",31,5,2,2,34516,0.042,0.758,2589,57,0.676
"closed_account",42,3,"masters","married","full_time",44504,"gold",34,3,2,3,1640,0.88,0.423,1360,33,0.222
"closed_account",39,2,"masters","divorced","part_time",51206,"blue",23,5,2,3,17894,0.017,0.965,4691,63,0.465
"active",55,2,"masters","single","full_time",31593,"silver",47,5,3,2,6347,0,0.466,1161,44,0.375
"closed_account",53,4,"masters","married","full_time",100924,"blue",49,5,5,4,10533,0.031,0.823,2585,48,0.714
"active",48,3,"bachelors","married","part_time",56827,"gold",34,2,2,1,1913,0.734,0.699,7265,80,0.905
"active",65,1,"doctorate","single","part_time",50115,"gold",56,5,2,2,1456,0.595,0.725,3953,69,0.725
"active",55,2,"associates","single","full_time",143876,"silver",49,6,3,4,3029,0.497,0.56,2394,50,0.471
"active",43,3,"masters","single","full_time",33925,"gold",31,3,1,2,4098,0.433,0.673,3939,84,0.647
"active",55,2,"masters","single","full_time",32889,"gold",36,5,1,2,2712,0.596,0.715,4858,73,0.738
"active",45,5,"masters","single","full_time",37440,"gold",36,4,2,1,2718,0.542,0.71,3542,59,0.639
"active",42,4,"masters","married","full_time",75383,"gold",36,4,2,3,3591,0.487,0.733,5079,80,0.905
"closed_account",51,1,"masters","married","part_time",132768,"blue",44,4,2,4,33004,0.073,0.923,10156,72,0.946
"active",51,2,"associates","married","full_time",33197,"silver",39,3,1,2,6462,0.39,0.842,4156,77,0.833
"active",44,3,"masters","single","self_employed",71587,"silver",31,4,3,4,12871,0.059,0.778,3060,60,1.069
"closed_account",44,3,"masters","married","self_employed",76311,"gold",36,2,3,3,9114,0,0.654,2740,52,0.625
"active",62,0,"masters","married","full_time",52409,"blue",48,4,1,2,1430,0,0.425,1406,27,0.5
"active",42,4,"masters","married","full_time",57921,"gold",19,5,3,2,8374,0,0.885,4493,59,1.034
"closed_account",47,2,"masters","married","part_time",32728,"blue",34,2,2,2,2234,0.906,0.717,2313,37,0.321
"closed_account",43,4,"masters","single","full_time",35724,"blue",32,4,3,1,3015,0,1.058,5372,75,0.596
"closed_account",36,2,"associates","single","full_time",31583,"blue",26,3,2,2,5956,0.423,0.877,2828,46,0.484
"active",48,4,"masters","married","full_time",35459,"gold",38,4,3,1,1430,0,0.647,4601,78,0.625
"closed_account",52,3,"associates","married","full_time",95813,"blue",44,3,3,3,11606,0,0.797,2623,39,0.393
"closed_account",39,2,"masters","divorced","part_time",51206,"blue",23,5,2,3,17894,0.017,0.965,4691,63,0.465
"closed_account",46,3,"masters","single","part_time",37058,"blue",28,2,2,3,8551,0.125,0.931,1097,32,0.778
"closed_account",49,2,"associates","married","part_time",89536,"blue",39,2,3,4,29865,0.07,0.902,8636,74,0.947
"active",48,2,"masters","single","self_employed",73046,"silver",40,4,5,4,14951,0.095,0.784,3899,68,1.061
"closed_account",39,2,"doctorate","married","full_time",37189,"silver",36,4,3,4,1430,0.616,0.24,1674,42,0.312
"closed_account",41,3,"associates","single","part_time",70449,"blue",32,1,3,3,4697,0.223,0.313,1679,29,0.318
"active",51,2,"doctorate","single","full_time",55891,"blue",40,3,2,0,6103,0,0.532,3203,64,0.829
"active",51,2,"masters","single","self_employed",50003,"blue",41,1,3,3,3062,0.672,0.622,7289,75,0.705
"active",50,3,"associates","married","full_time",32359,"blue",42,4,3,3,2719,0,0.794,4172,65,0.97
"closed_account",38,2,"masters","married","full_time",67002,"blue",36,2,3,2,1430,0,0.461,1651,42,0.5
"active",44,3,"masters","married","full_time",32678,"silver",26,1,3,1,10877,0.166,0.706,7974,90,0.731
"active",48,5,"associates","single","part_time",49209,"silver",42,5,1,2,2465,0.458,0.613,4030,86,0.483
"closed_account",54,2,"associates","married","full_time",35692,"blue",50,3,6,3,2247,0,0.641,2615,37,0.423
"active",45,3,"masters","divorced","full_time",76124,"silver",37,6,3,3,2751,0.884,0.905,4453,75,0.923
"closed_account",50,1,"associates","single","part_time",125913,"blue",37,4,3,2,32563,0,1.013,9220,81,0.884
"active",45,4,"masters","married","full_time",54192,"blue",36,5,3,4,4112,0,0.777,2949,54,1.25
"active",31,0,"associates","single","full_time",33017,"silver",20,4,3,4,4712,0.203,0.855,2568,62,0.59
"closed_account",44,4,"doctorate","married","full_time",140404,"blue",39,4,3,2,7924,0.318,0.663,2393,37,0.682
"active",45,4,"bachelors","married","full_time",33241,"gold",36,5,1,2,3349,0.752,0.786,4405,55,1.391
"active",46,2,"masters","single","full_time",55768,"blue",40,4,2,2,15459,0,0.789,1419,30,0.667
"active",55,0,"masters","single","self_employed",50553,"blue",35,5,1,3,3735,0.53,0.675,1749,41,0.577
"closed_account",48,2,"doctorate","married","full_time",32446,"silver",36,4,3,4,2514,0.831,0.842,2603,53,0.606
"active",44,3,"masters","married","self_employed",55986,"gold",35,6,3,1,6327,0,0.666,3653,77,0.674
"active",31,0,"associates","divorced","self_employed",43730,"blue",21,6,2,2,2621,0.557,0.775,2718,71,0.775
"closed_account",48,4,"bachelors","married","part_time",35589,"silver",36,2,3,2,5997,0,0.406,1457,42,0.5
"active",49,4,"associates","married","full_time",62874,"silver",36,1,2,2,6139,0.258,0.713,7906,80,0.633
"closed_account",31,1,"associates","single","part_time",103992,"silver",36,2,3,3,21067,0,0.995,9212,71,0.821
"closed_account",47,3,"masters","single","self_employed",33944,"blue",39,3,3,3,1430,0,0.502,2476,32,0.778
"active",48,4,"masters","divorced","self_employed",67804,"silver",38,3,2,2,11596,0.108,0.426,4686,67,0.675
"closed_account",51,1,"associates","married","full_time",33990,"gold",43,4,3,3,1665,0.914,0.874,2878,45,0.452
"active",60,0,"associates","married","full_time",75132,"gold",54,6,1,2,9592,0.205,0.61,1821,55,0.447
"active",41,4,"masters","single","full_time",33014,"gold",35,3,1,4,2138,0.6,0.645,4785,85,0.518
"closed_account",47,3,"associates","single","self_employed",73528,"silver",36,3,2,4,1659,0.931,0.408,1920,39,0.345
"active",50,5,"associates","married","part_time",121746,"blue",36,2,2,1,13478,0,0.929,4738,56,0.867
"closed_account",56,1,"bachelors","single","part_time",37019,"blue",43,3,2,2,2846,0,0.747,2122,44,0.419
"active",46,1,"masters","married","self_employed",59963,"blue",26,6,3,0,2933,0.535,0.648,4956,92,0.673
"closed_account",39,4,"masters","married","part_time",67069,"blue",36,4,3,2,34516,0.073,0.841,8248,66,0.65
"closed_account",57,3,"masters","married","self_employed",70374,"blue",49,5,0,3,8701,0.025,0.527,1999,41,0.414
"closed_account",52,2,"associates","married","part_time",76637,"gold",35,4,4,3,33180,0.015,0.681,797,14,0.273
"closed_account",55,1,"masters","married","part_time",36996,"silver",36,4,1,3,1430,0.251,0.963,850,22,0.692
"active",46,2,"masters","married","full_time",64897,"blue",36,3,2,3,15405,0.11,0.814,1763,44,0.189
"closed_account",49,3,"masters","married","part_time",100414,"blue",36,3,3,2,13382,0.087,0.404,1828,45,0.5
"closed_account",48,1,"masters","single","part_time",38650,"blue",41,6,2,4,3001,0.161,0.814,2403,42,0.615
"closed_account",39,3,"associates","married","part_time",67047,"blue",29,4,3,4,2187,0,0.467,2031,40,0.333
"closed_account",40,3,"masters","married","full_time",121230,"blue",27,5,3,2,2269,0,0.572,2108,39,0.56
"closed_account",44,3,"doctorate","married","self_employed",36029,"blue",38,6,1,3,7222,0,0.685,920,18,0.5
"active",45,5,"masters","single","full_time",37828,"blue",36,2,2,3,3883,0.218,0.951,4667,90,0.8
"closed_account",63,0,"masters","single","part_time",68319,"blue",51,3,3,3,11619,0,0.631,2395,49,0.361
"active",38,2,"masters","married","part_time",32811,"blue",31,6,3,3,3222,0,0.786,5154,80,0.778
"active",45,2,"masters","single","part_time",37143,"blue",32,2,1,3,12695,0.127,0.852,8328,94,0.843
"closed_account",42,5,"associates","married","full_time",75504,"blue",36,1,2,3,1866,0,0.798,2833,42,0.355
"closed_account",38,4,"masters","married","part_time",35165,"blue",26,3,2,2,1430,0,0.777,2264,39,0.625
"active",39,3,"masters","single","self_employed",65548,"blue",29,4,2,3,6733,0.153,0.553,4444,72,0.565
"closed_account",44,3,"masters","single","full_time",68536,"silver",29,2,3,2,34516,0.073,0.579,6782,67,0.763
"closed_account",41,2,"masters","married","full_time",58069,"gold",36,5,2,4,2990,0.611,0.488,2265,41,0.414
"active",40,3,"associates","married","full_time",36972,"blue",33,1,1,1,8712,0.114,0.615,14512,115,0.769
"closed_account",40,3,"associates","married","full_time",106145,"silver",34,1,3,4,29715,0,0.399,2128,39,0.345
"active",57,2,"associates","single","full_time",48029,"blue",36,6,3,0,19482,0.055,0.706,1421,22,1.444
"active",56,3,"masters","married","full_time",98299,"silver",50,3,3,3,8022,0.171,0.896,1794,31,1.385
"active",44,2,"masters","married","self_employed",102110,"blue",36,3,3,2,12230,0.098,0.62,3659,76,0.52
"active",56,2,"masters","married","full_time",38623,"silver",36,5,3,3,2029,0.48,0.624,4170,73,0.553
"active",56,4,"masters","married","full_time",91309,"gold",49,3,4,2,4310,0.517,0.643,1645,33,0.941
"closed_account",46,2,"bachelors","single","full_time",92605,"blue",38,2,3,2,10309,0,0.451,1760,40,0.6
"closed_account",31,1,"associates","single","part_time",103992,"silver",36,2,3,3,21067,0,0.995,9212,71,0.821
"active",30,0,"masters","divorced","full_time",94982,"blue",23,6,1,2,26783,0.048,0.59,2495,46,0.769
"closed_account",56,2,"masters","single","self_employed",93047,"blue",36,1,2,2,1430,0,0.65,2123,37,0.542
"closed_account",44,3,"associates","single","part_time",63122,"blue",36,5,2,3,25276,0,0.849,2282,38,0.583
"closed_account",46,3,"associates","divorced","full_time",53750,"silver",39,2,3,2,3157,0.306,0.928,3300,58,0.568
"closed_account",48,4,"associates","married","part_time",88389,"blue",36,2,3,2,22917,0,0.574,2045,45,0.5
"active",44,1,"masters","divorced","self_employed",33468,"blue",34,1,1,3,13259,0.065,0.81,8998,102,0.672
"closed_account",55,3,"masters","single","part_time",54038,"blue",45,2,3,1,18128,0,0.71,2503,49,0.885
"closed_account",57,3,"masters","married","self_employed",70374,"blue",49,5,0,3,8701,0.025,0.527,1999,41,0.414
"closed_account",44,1,"associates","married","part_time",34961,"blue",36,5,3,4,5409,0,0.819,10291,60,0.818
"active",35,1,"bachelors","single","self_employed",35436,"silver",29,4,3,3,1430,0.672,0.871,5249,81,0.761
"active",52,2,"associates","single","self_employed",38008,"silver",35,5,2,3,1954,0.414,0.826,4897,70,0.795
"active",37,0,"masters","single","full_time",91753,"blue",27,5,2,3,15326,0,1.159,2990,55,0.964
"active",46,3,"masters","married","part_time",33250,"gold",37,5,1,3,2470,0.794,0.802,4519,78,0.733
"active",45,3,"associates","single","self_employed",31039,"blue",36,3,2,2,2589,0.793,0.636,4133,68,0.789
"active",51,5,"associates","married","self_employed",34394,"gold",39,6,2,4,5455,0.223,0.66,3863,67,0.811
"active",50,2,"associates","single","part_time",37794,"silver",37,6,5,2,1430,0.524,0.74,4457,69,0.683
"closed_account",38,2,"bachelors","married","part_time",35990,"blue",32,2,2,6,7385,0.246,1.029,5070,50,0.389
"active",44,2,"masters","married","full_time",101949,"gold",36,2,2,2,19141,0.101,1.05,15203,114,0.781
"closed_account",42,2,"masters","single","full_time",49699,"blue",34,3,3,3,5667,0.143,0.62,2064,42,0.4
"closed_account",52,1,"masters","single","part_time",38681,"blue",47,3,3,4,1842,0.339,0.729,2650,43,0.483
"closed_account",38,3,"masters","single","full_time",45352,"silver",26,3,2,3,2669,0,0.67,2271,31,0.722
"active",32,0,"masters","single","full_time",49322,"silver",21,6,2,3,2801,0.526,1.027,2467,54,0.8
"active",31,0,"associates","single","part_time",32234,"silver",21,3,1,3,14305,0.09,0.774,14769,119,0.63
"closed_account",42,3,"masters","single","part_time",52408,"blue",36,6,2,3,1451,0.413,0.752,2192,35,0.458
"active",46,3,"masters","married","full_time",47253,"blue",32,6,2,3,11477,0,0.767,1260,27,0.688
"closed_account",45,4,"associates","married","full_time",37462,"gold",38,3,4,3,4908,0,0.993,827,21,0.75
"closed_account",45,3,"associates","single","full_time",129124,"blue",35,2,3,5,7135,0.353,0.631,2305,42,0.448
"active",38,1,"masters","single","part_time",36553,"blue",26,4,1,3,2652,0.941,0.561,3691,58,1.071
"active",46,3,"associates","married","full_time",46477,"gold",34,2,3,2,3336,0.506,0.645,5577,95,0.759
"closed_account",43,3,"bachelors","married","full_time",102530,"blue",25,3,3,3,2900,0.868,0.719,2180,31,0.409
"closed_account",44,2,"masters","married","self_employed",68240,"blue",34,6,3,4,23026,0.109,1.032,4909,52,0.625
"closed_account",42,0,"associates","single","self_employed",63430,"blue",36,4,3,6,15699,0,0.569,1793,40,0.6
"active",45,2,"associates","married","full_time",33006,"silver",36,4,1,3,1640,0.609,0.811,4597,77,0.878
"active",45,4,"doctorate","single","full_time",97891,"gold",39,4,1,2,34516,0.038,0.757,1906,39,0.773
"closed_account",38,2,"associates","married","part_time",43607,"blue",28,3,2,2,7225,0,0.419,738,16,0.231
"closed_account",30,1,"bachelors","single","full_time",35392,"blue",36,4,3,6,4541,0,0.976,7996,80,0.778
"closed_account",49,4,"masters","single","full_time",68414,"blue",36,1,4,5,5662,0.262,0.434,1693,25,0.25
"active",55,0,"associates","married","full_time",93929,"silver",35,5,1,4,3864,0.492,0.289,1018,32,0.391
"active",42,3,"masters","married","part_time",37292,"gold",33,6,3,3,2363,0.633,0.531,4420,65,0.711
"active",49,4,"doctorate","married","self_employed",55779,"blue",39,5,1,2,1430,0,0.562,3691,77,0.51
"active",60,1,"associates","married","part_time",64503,"silver",48,3,1,3,10264,0.202,0.62,1685,45,0.364
"closed_account",43,3,"masters","single","part_time",108663,"blue",29,1,2,6,11422,0.096,0.773,2439,45,0.8
"closed_account",42,4,"associates","married","part_time",32976,"blue",32,6,3,3,3454,0,0.862,2826,39,0.625
"active",51,3,"associates","married","full_time",71276,"silver",36,4,3,4,5993,0.264,0.44,3464,64,0.684
"active",50,2,"masters","single","self_employed",33711,"blue",38,5,4,2,7398,0.214,0.428,4311,73,0.921
"closed_account",54,4,"masters","married","full_time",37117,"blue",44,5,3,3,2440,0.206,0.415,2334,51,0.594
"active",46,2,"masters","single","self_employed",36634,"silver",40,4,2,4,1430,0.444,0.768,4427,85,0.735
"active",48,3,"associates","single","full_time",35831,"gold",43,5,4,2,1532,0.772,0.617,4359,78,0.857
"closed_account",41,3,"associates","married","part_time",72812,"gold",29,1,3,4,27945,0,0.902,8345,70,1.059
"active",37,1,"masters","single","full_time",115946,"gold",24,4,4,4,34516,0.027,0.681,1768,52,0.576
"closed_account",54,1,"associates","married","part_time",61098,"silver",50,4,0,3,2912,0,0.621,2465,54,1.077
"active",26,0,"bachelors","single","full_time",57390,"silver",36,5,2,3,2657,0.606,0.599,2349,41,0.464
"closed_account",40,3,"associates","single","self_employed",97941,"blue",36,2,3,2,4620,0,0.654,6644,61,0.694
"active",45,3,"masters","married","full_time",55461,"blue",35,2,3,2,4318,0.546,0.993,12867,118,0.573
"closed_account",42,2,"masters","married","full_time",32971,"blue",23,3,3,3,1929,0.867,0.835,857,36,1.118
"closed_account",35,1,"masters","married","full_time",48396,"blue",26,6,4,4,2045,0.835,0.577,2183,39,0.696
"closed_account",46,5,"associates","single","full_time",51487,"blue",40,5,4,3,6185,0.317,0.669,2225,45,0.875
"active",52,2,"masters","married","full_time",102946,"gold",42,5,3,2,21782,0.046,0.654,1537,35,0.591
"closed_account",35,0,"doctorate","married","full_time",35844,"blue",27,2,3,2,3876,0,0.848,7712,73,0.825
"active",39,2,"masters","married","part_time",73922,"blue",36,6,3,2,5471,0.376,0.465,1992,46,0.704
"active",43,2,"associates","married","full_time",70193,"gold",37,1,3,3,2600,0.787,0.749,8804,111,0.682
"active",44,0,"associates","divorced","full_time",106013,"gold",34,5,2,2,5293,0.234,0.848,4572,90,0.8
"closed_account",44,1,"associates","single","self_employed",106813,"blue",36,2,2,3,34516,0,0.596,1891,34,0.214
"active",50,1,"masters","married","self_employed",66132,"silver",37,1,1,1,6224,0.125,0.743,13503,112,0.623
"active",35,1,"associates","married","full_time",34376,"gold",17,5,3,3,4588,0.549,1.525,2442,62,0.632
"active",43,3,"masters","married","self_employed",103755,"blue",33,4,1,2,3498,0,1.109,2512,56,0.867
"active",58,2,"bachelors","single","full_time",32714,"silver",36,6,4,0,2212,0.86,0.691,4976,79,0.975
"active",41,1,"associates","single","full_time",52369,"gold",31,6,3,2,4969,0.169,0.591,1489,32,0.455
"active",49,4,"masters","divorced","full_time",35455,"gold",43,5,1,2,3232,0.255,0.796,3915,74,0.644
"active",42,3,"associates","married","part_time",31973,"silver",36,4,2,1,2281,0.679,0.739,4384,78,0.857
"closed_account",41,3,"associates","married","full_time",46490,"blue",36,1,3,4,3606,0,0.37,1829,41,0.519
"active",56,3,"associates","married","part_time",60914,"silver",36,5,3,3,2253,0.61,0.388,1324,38,0.31
"closed_account",45,2,"bachelors","single","part_time",35656,"gold",33,1,3,3,1833,0,0.549,2037,31,0.292
"active",45,3,"associates","married","full_time",34889,"blue",34,4,2,1,5056,0,0.905,4428,78,0.696
"active",29,1,"associates","married","part_time",64399,"gold",16,3,2,1,12495,0.201,0.827,14524,106,0.683
"active",42,2,"associates","married","full_time",36062,"silver",29,5,3,4,3200,0.542,0.909,5026,79,0.837
"active",45,2,"associates","married","self_employed",93779,"silver",36,2,1,3,8103,0,0.986,5221,82,0.673
"active",44,4,"masters","single","part_time",49464,"silver",36,5,2,3,11346,0,0.665,3784,67,0.457
"active",36,4,"associates","married","full_time",104001,"blue",25,4,3,3,5846,0.296,0.611,2056,41,0.64
"closed_account",43,4,"associates","married","self_employed",35049,"blue",36,5,3,3,3492,0.721,0.6,2510,47,0.621
"closed_account",41,1,"associates","single","part_time",51051,"blue",36,4,3,3,2667,0,0.494,4399,54,0.862
"closed_account",41,5,"masters","married","self_employed",35126,"blue",28,6,2,2,6936,0,0.883,2874,44,0.63
"active",37,3,"associates","married","full_time",94775,"blue",28,6,2,2,2672,0.471,1.375,2487,52,0.625
"active",56,2,"masters","married","self_employed",49395,"blue",45,5,2,1,1430,0,0.913,4323,77,0.571
"active",44,3,"masters","single","self_employed",52585,"blue",38,3,1,0,11749,0.067,0.688,1178,27,0.929
"active",39,1,"associates","single","full_time",32770,"blue",35,1,5,1,1961,0,0.631,4846,92,0.84
"active",52,2,"masters","married","part_time",35488,"silver",40,2,3,2,3698,0,0.811,3763,82,0.864
"active",26,1,"associates","single","part_time",34121,"gold",15,5,3,3,2539,0.852,0.635,2386,47,0.382
"active",45,1,"masters","single","full_time",54065,"blue",36,5,2,2,1936,0.833,0.841,4773,80,0.818
"active",41,3,"masters","married","self_employed",38898,"blue",29,6,3,1,1959,0.647,0.731,4275,61,0.649
"closed_account",59,0,"associates","single","part_time",41550,"blue",48,2,4,3,3616,0.291,0.616,687,17,0.545
"closed_account",49,3,"bachelors","married","part_time",121425,"blue",43,5,3,3,4781,0,0.788,2451,50,0.667
"closed_account",43,3,"associates","single","full_time",67726,"blue",38,2,3,2,12254,0,0.705,2129,42,0.355
"active",34,3,"masters","single","full_time",95067,"silver",19,6,1,2,7531,0,1.007,3833,71,0.578
"closed_account",40,4,"masters","divorced","part_time",64861,"blue",27,2,2,3,5051,0,0.588,2137,45,0.552
"closed_account",46,3,"masters","single","self_employed",34357,"silver",37,1,2,4,1430,0,0.35,1757,44,0.467
"active",49,5,"associates","single","self_employed",78201,"silver",36,1,2,2,5578,0,0.627,3459,53,0.71
"active",52,2,"associates","divorced","part_time",47222,"blue",46,5,1,1,1430,0,0.706,3763,74,0.85
"closed_account",45,3,"masters","married","part_time",82602,"blue",40,3,3,2,3728,0,0.358,1632,42,0.448
"closed_account",45,3,"bachelors","married","full_time",98702,"silver",36,3,2,2,3031,0.83,0.409,2188,50,0.389
"closed_account",53,2,"associates","single","full_time",35642,"gold",46,6,1,2,3199,0,1.047,4805,59,0.639
